pos_bin,commissionRateByMaxPercent,commissionRateByMaxPercent
"(-0.01, 0.01]",0.001814326475840107,0.001814326475840107
"(0.01, 0.1]",,
"(0.1, 0.5]",0.008169056764831414,0.008169056764831414
"(0.5, 0.75]",0.1100469533522717,0.1100469533522717
"(0.75, 0.8]",0.7555502374712165,0.7555502374712165
"(0.8, 0.85]",3.056061829646539,3.056061829646539
"(0.85, 0.9]",0.5015151311571455,0.5015151311571455
"(0.9, 0.91]",0.0433463150045046,0.0433463150045046
"(0.91, 0.92]",0.24611818234025876,0.24611818234025876
"(0.92, 0.93]",0.5969762705674875,0.5969762705674875
"(0.93, 0.94]",,
"(0.94, 0.95]",0.08723986350605366,0.08723986350605366
"(0.95, 0.96]",1.0661199177050922,1.0661199177050922
"(0.96, 0.97]",0.8536597756197345,0.8536597756197345
"(0.97, 0.98]",0.542302693584381,0.542302693584381
"(0.98, 0.99]",1.3836691110476926,1.3836691110476926
"(0.99, 1.0]",1.738405014230572,1.738405014230572
